"N","sigmaU","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_smle","ese_beta0_smle","ase_beta0_smle","bias_beta1_smle","ese_beta1_smle","ase_beta1_smle","cp_beta1_smle","re_beta1_smle"
390,0.1,0.244370928653547,0.000112461012391953,0.00296389558771901,-9.47057648424894e-05,0.00493599142302826,0.000173268394942981,0.00339807780848288,-0.0491400963319069,0.00695395167365306,-0.000278740008025588,0.00959928669454613,0.000826819612406367,0.0162309867318115,0.0924823692813196,0.000140129894551641,0.00305730271328542,0.00304995665004289,-1.41670953747906e-05,0.00513313764936526,0.00496109043774631,0.945,0.924661918666919
390,0.2,0.243434415398608,9.40858064229863e-05,0.00291138800198543,-7.14370915618022e-05,0.00490689197163119,7.21782238740965e-05,0.00334233826447294,-0.0488092569338848,0.00704501400005227,0.00010013753637393,0.00940584056387405,-8.53663834071247e-05,0.015976303631976,0.094332291007378,9.38038336597457e-05,0.00302857185788608,0.00304965489372139,-4.42935685785794e-05,0.00505559459590108,0.00495701016919604,0.945,0.942038195211156
390,0.4,0.249621849723603,0.000145856161054188,0.00297994094117714,0.000239281340180003,0.00482619446339077,0.000170999138295904,0.00340116805481852,-0.0495110747649384,0.00670997855161331,0.000288644083759216,0.00974738450872192,-0.000241802059599809,0.0160013243320965,0.0909699127301093,0.000127131892265301,0.00310266234085644,0.0030515650693138,0.000281116930909477,0.00489876714998427,0.00495021024885684,0.955,0.970590509370558
390,0.8,0.302883435565088,8.55190082038395e-05,0.00287657877916685,4.02305410499971e-05,0.00483356467815761,8.23871621300696e-05,0.00352008701230222,-0.0563415032415237,0.00709210273431179,0.00012595042437726,0.0090894958920074,0.0001426508972627,0.0157515830609813,0.09416438043364,7.80875351131274e-05,0.00304907676345163,0.00306294705108656,6.8027032639667e-05,0.0049403526403885,0.00499015416907123,0.954,0.957236321044303
390,1,0.332391783504073,0.000126938997432691,0.00296340866416965,-0.00014346487023244,0.00487195914625525,0.000104187065156586,0.00363029821565053,-0.0596512082924008,0.00695036978455984,0.00035727016531762,0.00918096672928562,-0.000362588694784001,0.0154961746155376,0.0988458118482034,8.4152042948473e-05,0.00308895198426063,0.0030736586096033,-0.000168111595178781,0.00507903265978925,0.00500109546300066,0.946,0.920121682222678
2200,0.1,0.243063646984842,1.2207195326331e-05,0.00118703801887982,8.11347071369241e-05,0.00201493305529834,-4.74907494516084e-05,0.00136765058844019,-0.0484603081862397,0.00287792804650842,-1.22200444811506e-05,0.00387706645602276,1.18069058528464e-05,0.00652661189596421,0.0953115795134507,5.42087186609939e-06,0.0012193073910231,0.00127469354591371,9.15838228030191e-05,0.00210520436099968,0.00207455604572441,0.939,0.91607856464289
2200,0.2,0.241446776856423,3.02585716316577e-05,0.00123575917190252,3.25570258831798e-06,0.00206970935417622,1.33177738126991e-05,0.001426002961016,-0.0483637378972733,0.0028480488253329,-0.000216567069742182,0.00402689107104083,0.000237488852448933,0.00632055808223441,0.107227917564807,1.0489646911004e-05,0.00129361549373289,0.00127458231636787,2.73963663026425e-05,0.00211215053003098,0.00207409285566664,0.942,0.960216118548166
2200,0.4,0.247033005095905,-9.10497096650195e-05,0.00125589516536242,9.9710953176279e-05,0.00207878810100319,-8.63714082938345e-05,0.0014420717874639,-0.0491326206156081,0.00289408970637969,-5.85018926856129e-05,0.00402115795937551,-7.97366943997701e-06,0.00664491808850353,0.0978681053787344,-9.65418549756222e-05,0.00129207915993772,0.00127505249283282,0.000101756483725456,0.00216000200303647,0.00207538087284195,0.934,0.926215696633959
2200,0.8,0.301162529140272,-6.94594793972964e-06,0.00122751933969036,1.71024064486259e-05,0.00196579862645001,-3.93819018932281e-08,0.00151769296676708,-0.0560264818017897,0.00298636408375275,0.000151713326864252,0.0038782511833586,0.000126957786714296,0.00656366926718781,0.0896983956924212,-3.8049324265157e-06,0.00130488424939075,0.00128249206077654,3.2148035391309e-05,0.00206368703820545,0.00207893012785755,0.944,0.907382463679099
2200,1,0.3326464100958,1.30065927170767e-05,0.00119158659758446,1.22909380817532e-05,0.00207747296794053,-2.23190257167549e-05,0.00151202984873982,-0.0595718351330234,0.00308214065521472,-6.30570901771462e-05,0.00392707940933104,-5.39331645495375e-05,0.00642681615469812,0.104491029854262,1.14143826060848e-06,0.00126634582887362,0.00128638534011372,-5.73791322521435e-06,0.00216854153731848,0.00208145449531319,0.945,0.917772990240836
